"mode_block"	"param_id"	"type"	"min"	"max"	"default"	"choices"
"Global"	"bypass"	"bool"	"false"	"true"	"false"	"false|true"
"Global"	"exp_crossover_hz"	"float"	"220.0"	"600.0"	"277.0"	""
"Global"	"exp_manual_mode"	"bool"	"false"	"true"	"true"	"false|true"
"Global"	"exp_mute_high_band"	"bool"	"false"	"true"	"false"	"false|true"
"Global"	"exp_mute_low_band"	"bool"	"false"	"true"	"false"	"false|true"
"Global"	"exp_oversampling_mode"	"choice"	"0"	"2"	"4x"	"Off|4x|8x"
"Global"	"intensity"	"float"	"0.0"	"1.0"	"0.15"	""
"Global"	"output_gain"	"float"	"-12.0"	"12.0"	"0.0"	""
"High Core"	"exp_high_attack_boost_db"	"float"	"0.0"	"15.9"	"1.3"	""
"High Core"	"exp_high_attack_time_ms"	"float"	"6.0"	"12.7"	"6.0"	""
"High Core"	"exp_high_comp_time_ms"	"float"	"14.0"	"38.1"	"14.0"	""
"High Core"	"exp_high_drive_db"	"float"	"0.0"	"9.5"	"0.6"	""
"High Core"	"exp_high_post_comp_db"	"float"	"0.0"	"7.4"	"0.4"	""
"High Core"	"exp_high_sat_drive"	"float"	"1.0"	"5.0"	"1.24"	""
"High Core"	"exp_high_sat_mix"	"float"	"0.0"	"1.0"	"0.05"	""
"High Core"	"exp_high_trim_db"	"float"	"-4.0"	"-0.1"	"-0.1"	""
"High Core"	"exp_high_waveshaper_type"	"choice"	"0"	"2"	"Soft Sign"	"Soft Sign|Sine|Hard Clip"
"High Detector"	"exp_high_attack_gain_smooth_ms"	"float"	"0.1"	"20.0"	"1.8"	""
"High Detector"	"exp_high_comp_attack_ratio"	"float"	"0.05"	"1.0"	"0.25"	""
"High Detector"	"exp_high_comp_gain_smooth_ms"	"float"	"0.1"	"20.0"	"1.6"	""
"High Detector"	"exp_high_fast_attack_ms"	"float"	"0.1"	"10.0"	"1.0"	""
"High Detector"	"exp_high_fast_release_ms"	"float"	"1.0"	"80.0"	"15.0"	""
